gene,TB,Sepsis,Dengue
UQCRQ,TRUE,TRUE,FALSE
NOP10,TRUE,TRUE,TRUE
ATP6V1G1,TRUE,TRUE,TRUE
NDUFA6,TRUE,FALSE,FALSE
CHCHD10,TRUE,TRUE,FALSE
POMP,TRUE,FALSE,FALSE
ATP5IF1,TRUE,FALSE,FALSE
ZFP36L2,TRUE,TRUE,TRUE
RAB5IF,TRUE,FALSE,FALSE
OSTF1,TRUE,TRUE,FALSE
NDUFB6,TRUE,FALSE,FALSE
MRPS15,TRUE,TRUE,FALSE
RBX1,TRUE,TRUE,TRUE
COX5B,TRUE,TRUE,TRUE
POLR2L,TRUE,TRUE,FALSE
DECR1,TRUE,TRUE,FALSE
GLRX,TRUE,TRUE,FALSE
PABPC1,TRUE,TRUE,TRUE
GCA,TRUE,FALSE,FALSE
GNG5,TRUE,TRUE,FALSE
NENF,TRUE,FALSE,FALSE
MGST1,TRUE,FALSE,FALSE
LAIR1,TRUE,TRUE,FALSE
SERPINB1,TRUE,TRUE,TRUE
PLD3,TRUE,FALSE,FALSE
C1QA,TRUE,FALSE,FALSE
SSB,TRUE,FALSE,TRUE
LAMTOR5,TRUE,FALSE,FALSE
RHEB,TRUE,FALSE,TRUE
DNAJA1,TRUE,TRUE,FALSE
GLIPR2,TRUE,TRUE,FALSE
TUBA1B,TRUE,TRUE,TRUE
PSMA4,TRUE,TRUE,TRUE
CCL18,TRUE,FALSE,FALSE
SNRPB2,TRUE,TRUE,FALSE
PSME1,TRUE,TRUE,TRUE
GPX3,TRUE,FALSE,FALSE
CPVL,TRUE,TRUE,FALSE
COX7C,TRUE,FALSE,TRUE
ROMO1,TRUE,FALSE,FALSE
COX6A1,TRUE,TRUE,FALSE
MNDA,TRUE,TRUE,TRUE
PSMB7,TRUE,TRUE,FALSE
LSM3,TRUE,TRUE,FALSE
EIF1,TRUE,TRUE,TRUE
LY96,TRUE,TRUE,FALSE
REEP5,TRUE,FALSE,FALSE
HLA-DPA1,TRUE,TRUE,TRUE
SEM1,TRUE,FALSE,FALSE
NCF4,TRUE,FALSE,FALSE
RNASET2,TRUE,TRUE,FALSE
TMEM273,TRUE,FALSE,FALSE
CYBB,TRUE,FALSE,FALSE
S100A13,TRUE,FALSE,FALSE
RBM8A,TRUE,TRUE,FALSE
NDUFC1,TRUE,FALSE,FALSE
ARPC5,TRUE,TRUE,FALSE
SAT1,TRUE,TRUE,TRUE
NOL7,TRUE,TRUE,FALSE
CAPG,TRUE,TRUE,FALSE
CLEC4E,TRUE,TRUE,FALSE
PSMB6,TRUE,TRUE,FALSE
COX6B1,TRUE,FALSE,FALSE
PRUNE2,TRUE,FALSE,FALSE
RPL15,TRUE,TRUE,TRUE
CLEC2B,TRUE,TRUE,FALSE
AXL,TRUE,FALSE,TRUE
ATP5MC1,TRUE,FALSE,FALSE
RPL41,TRUE,TRUE,FALSE
TMEM59,TRUE,TRUE,FALSE
BTG1,TRUE,TRUE,TRUE
CD302,TRUE,TRUE,FALSE
NDUFB10,TRUE,FALSE,TRUE
PSME2,TRUE,TRUE,TRUE
PCMT1,TRUE,FALSE,FALSE
MAP1LC3B,TRUE,TRUE,FALSE
RNF181,TRUE,TRUE,FALSE
CARD16,TRUE,TRUE,TRUE
NDUFS3,TRUE,TRUE,FALSE
APLP2,TRUE,FALSE,FALSE
EFHD2,TRUE,FALSE,TRUE
CCDC88A,TRUE,FALSE,FALSE
GABARAPL2,TRUE,FALSE,TRUE
SMIM26,TRUE,FALSE,FALSE
TUBB4B,TRUE,FALSE,TRUE
CHCHD1,TRUE,FALSE,FALSE
RNF7,TRUE,TRUE,FALSE
DCTN3,TRUE,TRUE,FALSE
GTF2H5,TRUE,TRUE,FALSE
MRPS23,TRUE,FALSE,FALSE
SNX3,TRUE,TRUE,TRUE
TMEM258,TRUE,FALSE,TRUE
MRPL57,TRUE,TRUE,FALSE
NDUFS5,TRUE,TRUE,FALSE
SEC61G,TRUE,FALSE,FALSE
PPIA,TRUE,TRUE,TRUE
NME1,TRUE,FALSE,TRUE
PSMA3,TRUE,TRUE,FALSE
FAM89A,TRUE,FALSE,FALSE
LAP3,TRUE,TRUE,TRUE
ANAPC11,TRUE,FALSE,FALSE
MGST2,TRUE,FALSE,FALSE
SF3B6,TRUE,FALSE,FALSE
NDUFA8,TRUE,FALSE,FALSE
LDHA,TRUE,TRUE,TRUE
YWHAB,TRUE,TRUE,FALSE
CAT,TRUE,FALSE,FALSE
ATP5ME,TRUE,FALSE,FALSE
JTB,TRUE,FALSE,FALSE
MYO9B,TRUE,FALSE,FALSE
PRDX4,TRUE,FALSE,FALSE
HSPA4,TRUE,FALSE,FALSE
SRP9,TRUE,FALSE,FALSE
GSN,TRUE,FALSE,FALSE
RPS2,TRUE,TRUE,TRUE
RHOA,TRUE,FALSE,FALSE
TBCA,TRUE,TRUE,FALSE
LYL1,TRUE,FALSE,FALSE
UQCRB,TRUE,TRUE,TRUE
UBC,TRUE,TRUE,TRUE
TNNI2,TRUE,FALSE,FALSE
ISG15,TRUE,TRUE,TRUE
STXBP2,TRUE,TRUE,TRUE
CTSC,TRUE,TRUE,TRUE
MRPS18C,TRUE,TRUE,FALSE
LSM4,TRUE,TRUE,FALSE
PTMS,TRUE,FALSE,FALSE
MDH2,TRUE,TRUE,FALSE
JUP,TRUE,FALSE,TRUE
RPS29,TRUE,TRUE,TRUE
CFL1,TRUE,TRUE,FALSE
C4orf3,TRUE,TRUE,FALSE
CIB1,TRUE,TRUE,FALSE
PPP1R7,TRUE,TRUE,FALSE
VPS26A,TRUE,FALSE,FALSE
GTF3C6,TRUE,TRUE,FALSE
RPL22,TRUE,TRUE,TRUE
CCT8,TRUE,FALSE,FALSE
ADAMTS1,TRUE,FALSE,FALSE
PSMB2,TRUE,TRUE,FALSE
NACA,TRUE,TRUE,TRUE
RGS19,TRUE,TRUE,FALSE
RANBP1,TRUE,TRUE,FALSE
ELOC,TRUE,FALSE,FALSE
MPC1,TRUE,TRUE,FALSE
SNRPB,TRUE,TRUE,FALSE
FOLR3,TRUE,FALSE,FALSE
LAMTOR2,TRUE,TRUE,FALSE
CCDC115,TRUE,FALSE,FALSE
ARPC1B,TRUE,TRUE,TRUE
WASHC3,TRUE,FALSE,FALSE
PHLDA3,TRUE,FALSE,FALSE
CD58,TRUE,TRUE,TRUE
ATP5F1B,TRUE,FALSE,FALSE
RTRAF,TRUE,FALSE,FALSE
RASGRP2,TRUE,TRUE,FALSE
SEC11C,TRUE,FALSE,FALSE
RBIS,TRUE,FALSE,FALSE
CSTA,TRUE,TRUE,TRUE
DDX17,TRUE,TRUE,FALSE
CSTB,TRUE,TRUE,TRUE
PEBP1,TRUE,TRUE,FALSE
EIF6,TRUE,TRUE,FALSE
SELENOS,TRUE,FALSE,FALSE
LAPTM5,TRUE,TRUE,FALSE
MRPL33,TRUE,FALSE,FALSE
FAM174C,TRUE,FALSE,FALSE
RAN,TRUE,TRUE,TRUE
HMOX2,TRUE,FALSE,FALSE
IGSF6,TRUE,FALSE,FALSE
TGFBI,TRUE,TRUE,FALSE
NAPRT,TRUE,FALSE,FALSE
MYD88,TRUE,FALSE,TRUE
NBDY,TRUE,FALSE,FALSE
CTSZ,TRUE,TRUE,FALSE
SAMM50,TRUE,FALSE,FALSE
ATP5PB,TRUE,FALSE,FALSE
TRAPPC2B,TRUE,FALSE,FALSE
ATP6V1D,TRUE,FALSE,FALSE
TBCB,TRUE,TRUE,FALSE
MPHOSPH8,TRUE,FALSE,FALSE
BCL7C,TRUE,FALSE,FALSE
MRPL18,TRUE,FALSE,FALSE
MRPL14,TRUE,FALSE,TRUE
SEPTIN7,TRUE,FALSE,FALSE
COMMD1,TRUE,FALSE,FALSE
CNPY2,TRUE,TRUE,FALSE
NCOA4,TRUE,TRUE,FALSE
HMGB1,TRUE,FALSE,FALSE
DAD1,TRUE,TRUE,FALSE
DOK2,TRUE,FALSE,FALSE
SOD1,TRUE,TRUE,FALSE
PSMB9,TRUE,TRUE,TRUE
SNU13,TRUE,TRUE,FALSE
TMEM126A,TRUE,FALSE,FALSE
SUMO1,TRUE,FALSE,FALSE
MRPS7,TRUE,FALSE,FALSE
COX14,TRUE,TRUE,FALSE
LPL,TRUE,FALSE,FALSE
TXNDC9,TRUE,FALSE,FALSE
C14orf119,TRUE,FALSE,TRUE
SPCS2,TRUE,TRUE,FALSE
QSOX1,TRUE,TRUE,FALSE
GET3,TRUE,FALSE,FALSE
ALAS1,TRUE,FALSE,FALSE
SUCLG1,TRUE,TRUE,FALSE
ANXA7,TRUE,TRUE,FALSE
ORMDL2,TRUE,FALSE,FALSE
NANS,TRUE,TRUE,FALSE
BLVRB,TRUE,TRUE,FALSE
EVA1B,TRUE,FALSE,FALSE
NDUFB11,TRUE,FALSE,FALSE
UFD1,TRUE,FALSE,FALSE
DRAP1,TRUE,TRUE,TRUE
PCOLCE2,TRUE,FALSE,FALSE
PSMA1,TRUE,TRUE,TRUE
ECH1,TRUE,TRUE,TRUE
UCP2,TRUE,TRUE,TRUE
SMDT1,TRUE,TRUE,FALSE
HCK,TRUE,TRUE,FALSE
ATP6V0A1,TRUE,FALSE,FALSE
SNX7,TRUE,FALSE,FALSE
GYPC,TRUE,FALSE,FALSE
RPL30,TRUE,TRUE,TRUE
HSPB11,TRUE,FALSE,FALSE
DPY30,TRUE,FALSE,FALSE
CYCS,TRUE,FALSE,FALSE
ANXA4,TRUE,TRUE,FALSE
TCEA3,TRUE,FALSE,FALSE
ACOT13,TRUE,FALSE,FALSE
TRAM1,TRUE,TRUE,FALSE
HPGDS,TRUE,FALSE,FALSE
EDF1,TRUE,TRUE,FALSE
BEX4,TRUE,TRUE,FALSE
DNAJC1,TRUE,TRUE,FALSE
VAMP5,TRUE,TRUE,TRUE
RPA3,TRUE,FALSE,FALSE
MALSU1,TRUE,FALSE,FALSE
ABCC3,TRUE,FALSE,FALSE
HSPA1A,TRUE,TRUE,FALSE
MCEMP1,TRUE,TRUE,FALSE
PNISR,TRUE,TRUE,TRUE
EIF3K,TRUE,TRUE,TRUE
TNFAIP2,TRUE,FALSE,FALSE
POLR2K,TRUE,FALSE,FALSE
CTNNBL1,TRUE,FALSE,FALSE
MRPL52,TRUE,TRUE,FALSE
GLRX2,TRUE,FALSE,FALSE
TMEM14B,TRUE,TRUE,FALSE
SSR3,TRUE,FALSE,FALSE
CYC1,TRUE,TRUE,FALSE
PSMB5,TRUE,FALSE,FALSE
FAM162A,TRUE,FALSE,FALSE
MICOS13,TRUE,FALSE,FALSE
LILRA2,TRUE,TRUE,FALSE
RPS11,TRUE,TRUE,TRUE
DSTN,TRUE,TRUE,FALSE
SNRPE,TRUE,TRUE,FALSE
FAM107B,TRUE,FALSE,TRUE
SNRPF,TRUE,TRUE,TRUE
TUBB2A,TRUE,FALSE,TRUE
MYL6,TRUE,TRUE,FALSE
RAB2A,TRUE,FALSE,FALSE
SDHB,TRUE,TRUE,FALSE
SRA1,TRUE,FALSE,FALSE
XRCC5,TRUE,TRUE,FALSE
TANC2,TRUE,FALSE,FALSE
RSRP1,TRUE,TRUE,FALSE
COX4I1,TRUE,TRUE,TRUE
WDR1,TRUE,TRUE,FALSE
ANXA2,TRUE,TRUE,TRUE
ALG5,TRUE,TRUE,FALSE
SNRPN,TRUE,TRUE,TRUE
ADGRE1,TRUE,FALSE,FALSE
SMC6,TRUE,FALSE,TRUE
FUCA2,TRUE,FALSE,FALSE
BLOC1S2,TRUE,TRUE,FALSE
UBE2I,TRUE,TRUE,FALSE
RAP1A,TRUE,TRUE,FALSE
FN1,TRUE,FALSE,FALSE
SDHA,TRUE,TRUE,FALSE
VDAC3,TRUE,TRUE,FALSE
ZEB2,TRUE,TRUE,TRUE
SRP19,TRUE,FALSE,FALSE
GTF2B,TRUE,FALSE,TRUE
UQCC2,TRUE,TRUE,TRUE
ARHGDIB,TRUE,TRUE,FALSE
RALGPS2,TRUE,FALSE,FALSE
CAPZA2,TRUE,TRUE,FALSE
ALOX5,TRUE,TRUE,FALSE
SCP2,TRUE,FALSE,FALSE
WDR61,TRUE,FALSE,FALSE
VDAC2,TRUE,TRUE,FALSE
YIF1A,TRUE,TRUE,FALSE
PSMC4,TRUE,FALSE,FALSE
PRDX5,TRUE,TRUE,FALSE
GTF2A2,TRUE,TRUE,FALSE
SCIMP,TRUE,TRUE,TRUE
PDLIM2,TRUE,TRUE,FALSE
TGOLN2,TRUE,FALSE,FALSE
SELENOW,TRUE,FALSE,FALSE
AKR1A1,TRUE,FALSE,FALSE
CFAP298,TRUE,FALSE,FALSE
EIF4E2,TRUE,TRUE,FALSE
PYURF,TRUE,TRUE,FALSE
EPSTI1,TRUE,TRUE,TRUE
CCNL1,TRUE,TRUE,TRUE
FMNL2,TRUE,FALSE,FALSE
SMCO4,TRUE,FALSE,FALSE
DMAC1,TRUE,FALSE,FALSE
FPR3,TRUE,FALSE,FALSE
SUMO2,TRUE,TRUE,FALSE
NIT2,TRUE,FALSE,FALSE
UBE2L3,TRUE,TRUE,FALSE
CCDC107,TRUE,FALSE,FALSE
MCTS1,TRUE,FALSE,TRUE
CENPW,TRUE,FALSE,FALSE
SIGLEC9,TRUE,FALSE,FALSE
ANAPC15,TRUE,TRUE,FALSE
VPS28,TRUE,TRUE,FALSE
VKORC1,TRUE,TRUE,FALSE
TPRKB,TRUE,TRUE,FALSE
HMGN1,TRUE,TRUE,TRUE
SELENOF,TRUE,FALSE,FALSE
ETHE1,TRUE,TRUE,FALSE
FAM32A,TRUE,FALSE,FALSE
OLR1,TRUE,TRUE,TRUE
IFIT1,TRUE,FALSE,TRUE
COPS9,TRUE,FALSE,FALSE
LIMS2,TRUE,FALSE,TRUE
PLGRKT,TRUE,FALSE,FALSE
MAPKAPK3,TRUE,TRUE,FALSE
GHITM,TRUE,TRUE,FALSE
RPS27A,TRUE,TRUE,TRUE
HIGD2A,TRUE,TRUE,TRUE
C11orf21,TRUE,FALSE,FALSE
SLC25A3,TRUE,TRUE,TRUE
SEC62,TRUE,TRUE,TRUE
TRAPPC4,TRUE,FALSE,FALSE
MRPL11,TRUE,TRUE,FALSE
EIF5A,TRUE,TRUE,TRUE
PDIA6,TRUE,FALSE,FALSE
UCHL3,TRUE,FALSE,FALSE
CLIC4,TRUE,FALSE,FALSE
PGK1,TRUE,TRUE,FALSE
TRIQK,TRUE,FALSE,FALSE
NDUFS2,TRUE,TRUE,FALSE
VAMP8,TRUE,TRUE,FALSE
WSB1,TRUE,TRUE,FALSE
POLR2J,TRUE,TRUE,TRUE
UBA52,TRUE,TRUE,TRUE
ITGAM,TRUE,FALSE,FALSE
NDUFA13,TRUE,TRUE,TRUE
HLA-DOA,TRUE,FALSE,FALSE
CYSTM1,TRUE,TRUE,TRUE
TMEM14C,TRUE,FALSE,FALSE
MRPS21,TRUE,FALSE,FALSE
NDUFB5,TRUE,FALSE,FALSE
MYO1F,TRUE,TRUE,TRUE
RPL11,TRUE,TRUE,TRUE
CSNK2B,TRUE,FALSE,TRUE
POLR3K,TRUE,FALSE,FALSE
SGMS2,TRUE,FALSE,FALSE
PPCS,TRUE,TRUE,FALSE
PRDX3,TRUE,TRUE,FALSE
TSTD1,TRUE,FALSE,TRUE
RAB13,TRUE,FALSE,FALSE
ANP32A,TRUE,TRUE,TRUE
C19orf53,TRUE,TRUE,FALSE
NDUFAF3,TRUE,TRUE,FALSE
GADD45GIP1,TRUE,TRUE,FALSE
VBP1,TRUE,TRUE,FALSE
THEMIS2,TRUE,FALSE,FALSE
AVPI1,TRUE,FALSE,FALSE
UBN1,TRUE,FALSE,FALSE
MAPRE1,TRUE,FALSE,TRUE
PHYH,TRUE,FALSE,FALSE
ARL1,TRUE,FALSE,FALSE
NDUFB7,TRUE,FALSE,TRUE
AKR1B1,TRUE,FALSE,FALSE
COPS5,TRUE,FALSE,FALSE
MRPS12,TRUE,TRUE,FALSE
CDC42,TRUE,TRUE,TRUE
EBNA1BP2,TRUE,FALSE,FALSE
NDUFA2,TRUE,TRUE,FALSE
EIF5,TRUE,FALSE,TRUE
CCND3,TRUE,TRUE,TRUE
LYAR,TRUE,FALSE,TRUE
EIF2S2,TRUE,TRUE,FALSE
ECI2,TRUE,FALSE,FALSE
GAPT,TRUE,TRUE,TRUE
OSTC,TRUE,TRUE,FALSE
ATP6V0E2,TRUE,FALSE,FALSE
LRP1,TRUE,FALSE,FALSE
FDPS,TRUE,FALSE,FALSE
SNF8,TRUE,TRUE,TRUE
ROGDI,TRUE,FALSE,FALSE
MRPL55,TRUE,TRUE,FALSE
GNAS,TRUE,FALSE,TRUE
DNAJC3,TRUE,FALSE,FALSE
MPEG1,TRUE,TRUE,FALSE
CST3,TRUE,TRUE,FALSE
DDX18,TRUE,TRUE,TRUE
ACTR3,TRUE,TRUE,FALSE
NDUFS7,TRUE,TRUE,FALSE
KRT10,TRUE,TRUE,FALSE
SNRNP25,TRUE,FALSE,FALSE
DNAJC19,TRUE,FALSE,FALSE
MPLKIP,TRUE,TRUE,FALSE
SNRPD2,TRUE,FALSE,TRUE
COPZ1,TRUE,FALSE,FALSE
TMEM208,TRUE,FALSE,FALSE
METTL5,TRUE,FALSE,FALSE
ARL4A,TRUE,TRUE,TRUE
NUDCD2,TRUE,FALSE,FALSE
DCTPP1,TRUE,FALSE,FALSE
PRKACB,TRUE,FALSE,FALSE
LPCAT2,TRUE,FALSE,FALSE
ATP5F1A,TRUE,FALSE,FALSE
MGMT,TRUE,FALSE,FALSE
CCT5,TRUE,FALSE,FALSE
TPPP,TRUE,FALSE,FALSE
GLOD4,TRUE,FALSE,FALSE
ACADM,TRUE,TRUE,FALSE
PNKD,TRUE,TRUE,TRUE
BCAS2,TRUE,FALSE,TRUE
RNF149,TRUE,FALSE,FALSE
BTF3,TRUE,TRUE,TRUE
CPPED1,TRUE,FALSE,FALSE
FXYD5,TRUE,FALSE,TRUE
SS18L2,TRUE,FALSE,TRUE
LSM1,TRUE,TRUE,FALSE
VAV1,TRUE,FALSE,FALSE
CCT7,TRUE,TRUE,FALSE
ADPRHL2,TRUE,FALSE,FALSE
MRPL36,TRUE,TRUE,FALSE
LDHB,TRUE,TRUE,FALSE
IFI35,TRUE,TRUE,TRUE
IL7R,TRUE,TRUE,FALSE
RPL31,TRUE,TRUE,TRUE
HLA-DMB,TRUE,FALSE,FALSE
PAIP2,TRUE,FALSE,FALSE
ISCU,TRUE,TRUE,FALSE
VAMP3,TRUE,FALSE,FALSE
PGP,TRUE,FALSE,FALSE
GLUL,TRUE,FALSE,TRUE
EXOSC7,TRUE,FALSE,FALSE
MRPL34,TRUE,TRUE,FALSE
CD2BP2,TRUE,FALSE,FALSE
PSMA2,TRUE,TRUE,TRUE
ITM2B,TRUE,FALSE,FALSE
SF3B5,TRUE,TRUE,FALSE
PPP2R3C,TRUE,FALSE,FALSE
PPP2CA,TRUE,FALSE,FALSE
LGALS3BP,TRUE,FALSE,TRUE
TP53I3,TRUE,FALSE,FALSE
IFI27L2,TRUE,FALSE,FALSE
SLC66A3,TRUE,FALSE,FALSE
REXO2,TRUE,FALSE,FALSE
NIPA2,TRUE,FALSE,FALSE
BCAT1,TRUE,FALSE,FALSE
PTGES3,TRUE,TRUE,FALSE
UQCRC2,TRUE,TRUE,FALSE
EMC6,TRUE,FALSE,FALSE
NQO2,TRUE,TRUE,FALSE
SNAPIN,TRUE,FALSE,FALSE
G3BP2,TRUE,FALSE,FALSE
RAB11A,TRUE,FALSE,FALSE
DYNLT3,TRUE,FALSE,FALSE
TST,TRUE,FALSE,FALSE
FPR1,TRUE,TRUE,FALSE
HSD17B10,TRUE,TRUE,FALSE
MRPS22,TRUE,FALSE,FALSE
RUNX1,TRUE,TRUE,FALSE
COPE,TRUE,TRUE,FALSE
CDK2AP2,TRUE,TRUE,FALSE
NDUFB3,TRUE,TRUE,TRUE
PCMTD1,TRUE,FALSE,FALSE
PBDC1,TRUE,FALSE,FALSE
IAH1,TRUE,FALSE,FALSE
PDCL3,TRUE,FALSE,FALSE
GADD45G,TRUE,FALSE,FALSE
GRHPR,TRUE,TRUE,FALSE
PRELID1,TRUE,TRUE,FALSE
ISCA2,TRUE,FALSE,TRUE
MTLN,TRUE,FALSE,FALSE
MPG,TRUE,FALSE,FALSE
MGLL,TRUE,FALSE,FALSE
SEPHS2,TRUE,FALSE,FALSE
JAGN1,TRUE,FALSE,FALSE
TWF2,TRUE,TRUE,FALSE
LCP1,TRUE,TRUE,FALSE
MRPL50,TRUE,TRUE,FALSE
AGTRAP,TRUE,TRUE,FALSE
PSMC3,TRUE,TRUE,FALSE
SNRPD3,TRUE,FALSE,TRUE
CD5L,TRUE,FALSE,FALSE
PUF60,TRUE,FALSE,FALSE
ACOT7,TRUE,FALSE,FALSE
MARCO,TRUE,TRUE,FALSE
HAX1,TRUE,FALSE,FALSE
C1orf56,TRUE,TRUE,FALSE
YBX1,TRUE,TRUE,TRUE
ACTG1,TRUE,TRUE,TRUE
GLIPR1,TRUE,TRUE,TRUE
C12orf57,TRUE,FALSE,TRUE
KIF5B,TRUE,TRUE,FALSE
TIMM10,TRUE,TRUE,FALSE
LEPROTL1,TRUE,TRUE,FALSE
